Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
MARA250117C00030000,MARA250117C00030000,Buy,Filled,2,2,@0.35,0.35,DAY,12/24/2024 09:51:57 EST,12/24/2024 09:51:57 EST
TSLA Vertical,,Buy,Filled,3,3,@0.9,0.9,DAY,12/17/2024 15:06:04 EST,12/17/2024 15:06:04 EST
,TSLA241220C00510000,Buy,Filled,3,3,@5.3,5.3,DAY,12/17/2024 15:06:04 EST,12/17/2024 15:06:04 EST
,TSLA241220C00515000,Sell,Filled,3,3,@4.4,4.4,DAY,12/17/2024 15:06:04 EST,12/17/2024 15:06:04 EST
TSLA241220C00520000,TSLA241220C00520000,Buy,Filled,1,1,@3.78,3.78,DAY,12/17/2024 15:05:17 EST,12/17/2024 15:05:18 EST
ARM241213C00155000,ARM241213C00155000,Sell,Filled,3,3,@0.43,0.43,DAY,12/13/2024 10:30:38 EST,12/13/2024 10:30:38 EST
ARM241213C00155000,ARM241213C00155000,Buy,Filled,3,3,@0.34,0.34,DAY,12/12/2024 15:17:35 EST,12/12/2024 15:17:35 EST
JD250221C00041000,JD250221C00041000,Buy,Filled,2,2,@2.38,2.38,DAY,12/11/2024 15:56:55 EST,12/11/2024 15:56:55 EST
WMT Vertical,,Buy,Filled,1,1,@0.2,0.2,DAY,12/11/2024 15:47:18 EST,12/11/2024 15:47:32 EST
,WMT250620P00073330,Buy,Filled,1,1,@0.67,0.67,DAY,12/11/2024 15:47:18 EST,12/11/2024 15:47:32 EST
,WMT250620P00070000,Sell,Filled,1,1,@0.47,0.47,DAY,12/11/2024 15:47:18 EST,12/11/2024 15:47:32 EST
MARA250117C00030000,MARA250117C00030000,Buy,Filled,10,10,@2.23,2.23,DAY,12/11/2024 11:14:17 EST,12/11/2024 11:14:17 EST
INTC250620C00025000,INTC250620C00025000,Sell,Filled,4,4,@1.56,1.56,DAY,12/11/2024 11:13:47 EST,12/11/2024 11:13:47 EST
INTC250117C00030000,INTC250117C00030000,Sell,Filled,75,75,@0.09,0.09,DAY,12/10/2024 14:48:18 EST,12/10/2024 14:48:18 EST
MSTR250117C00780000,MSTR250117C00780000,Sell,Filled,1,1,@9.05,9.05,DAY,12/10/2024 14:47:55 EST,12/10/2024 14:47:55 EST
