"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/02/2026","Sell to Close","ACMR 02/20/2026 43.00 C","CALL ACM RESH INC $43 EXP 02/20/26","2","$4.87","$1.33","$972.67"
"01/02/2026","Buy to Open","QQQ 01/16/2026 600.00 P","PUT INVESCO QQQ TR $600 EXP 01/16/26","3","$4.43","$1.98","-$1330.98"
"01/02/2026","Buy to Open","ACMR 02/20/2026 43.00 C","CALL ACM RESH INC $43 EXP 02/20/26","2","$4.65","$1.32","-$931.32"
"01/02/2026","Buy to Open","BIDU 02/20/2026 160.00 C","CALL BAIDU INC $160 EXP 02/20/26","2","$5.62","$1.32","-$1125.32"
"01/02/2026","Sell to Close","COIN 01/23/2026 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 01/23/26","1","$14.42","$0.66","$1441.34"
"01/02/2026","Sell to Close","BABA 01/16/2026 150.00 P","PUT ALIBABA GROUP HLDG L$150 EXP 01/16/26","2","$2.59","$1.32","$516.68"
"01/02/2026","Sell to Close","SLV 02/06/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 02/06/26","6","$3.18","$3.99","$1904.01"
"12/30/2025","Buy to Open","BIDU 02/20/2026 155.00 C","CALL BAIDU INC $155 EXP 02/20/26","3","$3.18","$1.98","-$955.98"
"12/30/2025","Sell to Close","COIN 01/23/2026 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 01/23/26","1","$12.17","$0.66","$1216.34"
"12/30/2025","Buy to Open","BIDU 02/20/2026 155.00 C","CALL BAIDU INC $155 EXP 02/20/26","8","$3.02","$5.29","-$2421.29"
"12/30/2025","Buy to Open","SLV 02/06/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 02/06/26","2","$4.32","$1.32","-$865.32"
"12/30/2025","Buy to Open","SLV 02/06/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 02/06/26","5","$4.34","$3.30","-$2173.30"
"12/30/2025","Sell to Close","SLV 01/16/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 01/16/26","10","$2.88","$6.64","$2873.36"
"12/30/2025","Buy to Open","SLV 02/06/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 02/06/26","5","$4.40","$3.30","-$2203.30"
"12/29/2025","Sell to Close","FCX 01/16/2026 47.00 C","CALL FREEPORT-MCMORAN IN$47 EXP 01/16/26","2","$4.50","$1.33","$898.67"
"12/29/2025","Sell to Close","BIDU 02/20/2026 120.00 C","CALL BAIDU INC $120 EXP 02/20/26","2","$10.75","$1.33","$2148.67"
"12/29/2025","Sell to Close","GDX 02/20/2026 95.00 C","CALL VANECK VCT GLD MNR $95 EXP 02/20/26","5","$2.73","$3.31","$1361.69"
"12/26/2025","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","250","$20.986","","-$5246.50"
"12/26/2025","Sell to Close","FCX 01/16/2026 47.00 C","CALL FREEPORT-MCMORAN IN$47 EXP 01/16/26","3","$6.45","$1.99","$1933.01"
"12/26/2025","Sell to Close","GDX 02/20/2026 95.00 C","CALL VANECK VCT GLD MNR $95 EXP 02/20/26","5","$4.82","$3.31","$2406.69"
"12/26/2025","Buy to Open","SLV 01/16/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 01/16/26","2","$3.18","$1.32","-$637.32"
"12/26/2025","Sell to Close","SLV 01/16/2026 72.00 C","CALL ISHR SILVER TR $72 EXP 01/16/26","5","$3.50","$3.31","$1746.69"
"12/26/2025","Buy to Open","SLV 01/16/2026 73.00 C","CALL ISHR SILVER TR $73 EXP 01/16/26","8","$3.22","$5.28","-$2581.28"
"12/26/2025","Sell","SCCO","SOUTHERN COPPER CORP","15","$150.7806","","$2261.71"
"12/26/2025","Buy to Open","BABA 01/16/2026 150.00 P","PUT ALIBABA GROUP HLDG L$150 EXP 01/16/26","2","$3.65","$1.32","-$731.32"
"12/26/2025","Sell to Close","ACMR 02/20/2026 39.00 C","CALL ACM RESH INC $39 EXP 02/20/26","2","$5.01","$1.33","$1000.67"
"12/26/2025","Buy to Open","AXTI 02/20/2026 15.00 C","CALL AXT INC $15 EXP 02/20/26","1","$2.72","$0.66","-$272.66"
"12/26/2025","Buy","AXTI","AXT INC","600","$14.7899","","-$8873.94"
"12/26/2025","Buy to Open","SLV 01/16/2026 72.00 C","CALL ISHR SILVER TR $72 EXP 01/16/26","5","$3.25","$3.30","-$1628.30"
"12/26/2025","Sell to Close","SLV 12/26/2025 70.00 C","CALL ISHR SILVER TR $70 EXP 12/26/25","50","$0.08","$33.19","$366.81"
"12/26/2025","Sell to Close","ACMR 02/20/2026 39.00 C","CALL ACM RESH INC $39 EXP 02/20/26","2","$5.10","$1.33","$1018.67"
"12/26/2025","Sell to Close","GDX 02/20/2026 95.00 C","CALL VANECK VCT GLD MNR $95 EXP 02/20/26","4","$4.78","$2.65","$1909.35"
"12/26/2025","Sell to Close","GLD 02/20/2026 368.00 C","CALL SPDR GOLD TR $368 EXP 02/20/26","1","$53.22","$0.66","$5321.34"
"12/26/2025","Buy","BIDU","BAIDU INC F","50","$124.24","","-$6212.00"
"12/26/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","60","$151.705","","-$9102.30"
"12/24/2025","Buy to Open","COIN 01/23/2026 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 01/23/26","1","$10.58","$0.66","-$1058.66"
"12/24/2025","Sell","PSLV","SPROTT PHYSICAL SILVER E","350","$23.4001","$0.06","$8189.98"
"12/24/2025","Sell","SIL","GLOBAL X SILVER MINERS ETF","100","$86.25","$0.02","$8624.98"
"12/24/2025","Sell to Close","HL 02/20/2026 22.00 C","CALL HECLA MNG CO $22 EXP 02/20/26","10","$1.595","$6.62","$1588.38"
"12/23/2025","Buy to Open","COIN 01/23/2026 235.00 P","PUT COINBASE GLOBAL INC $235 EXP 01/23/26","1","$10.87","$0.66","-$1087.66"
"12/23/2025","Sell to Close","MU 01/16/2026 310.00 C","CALL MICRON TECHNOLOGY I$310 EXP 01/16/26","2","$4.35","$1.33","$868.67"
"12/22/2025","Sell to Close","ARM 01/16/2026 115.00 P","PUT ARM HLDGS PLC EQUITY$115 EXP 01/16/26","1","$5.05","$0.66","$504.34"
"12/22/2025 as of 12/19/2025","Expired","GLD 12/19/2025 406.00 C","CALL SPDR GOLD TR $406 EXP 12/19/25","-9","","",""
"12/22/2025 as of 12/19/2025","Expired","BE 12/19/2025 75.00 P","PUT BLOOM ENERGY CORP $75 EXP 12/19/25","-2","","",""
"12/19/2025","Buy to Open","BIDU 02/20/2026 120.00 C","CALL BAIDU INC $120 EXP 02/20/26","2","$11.65","$1.32","-$2331.32"
"12/19/2025","Sell to Close","TSLA 03/20/2026 420.00 P","PUT TESLA INC $420 EXP 03/20/26","1","$21.82","$0.66","$2181.34"
"12/19/2025","Buy to Open","MU 01/16/2026 310.00 C","CALL MICRON TECHNOLOGY I$310 EXP 01/16/26","2","$4.25","$1.32","-$851.32"
"12/19/2025","Buy to Open","ACMR 02/20/2026 39.00 C","CALL ACM RESH INC $39 EXP 02/20/26","4","$5.00","$2.64","-$2002.64"
"12/19/2025","Sell to Close","ARM 01/16/2026 115.00 P","PUT ARM HLDGS PLC EQUITY$115 EXP 01/16/26","2","$5.78","$1.33","$1154.67"
"12/19/2025","Sell to Close","AMD 01/16/2026 175.00 P","PUT ADVANCED MICRO DEVIC$175 EXP 01/16/26","5","$1.24","$3.31","$616.69"
"12/19/2025","Sell to Close","ARM 01/16/2026 115.00 P","PUT ARM HLDGS PLC EQUITY$115 EXP 01/16/26","2","$6.05","$1.33","$1208.67"
"12/19/2025","Buy to Open","HL 02/20/2026 22.00 C","CALL HECLA MNG CO $22 EXP 02/20/26","10","$2.10","$6.60","-$2106.60"
"12/18/2025","Sell to Close","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","1","$1.37","$0.66","$136.34"
"12/18/2025","Sell to Close","AMD 12/19/2025 185.00 P","PUT ADVANCED MICRO DEVIC$185 EXP 12/19/25","9","$0.05","$5.98","$39.02"
"12/18/2025","Sell to Close","AMD 12/19/2025 170.00 P","PUT ADVANCED MICRO DEVIC$170 EXP 12/19/25","11","$0.01","$7.30","$3.70"
"12/18/2025","Sell to Close","QS 01/16/2026 11.00 P","PUT QUANTUMSCAPE CORP $11 EXP 01/16/26","12","$0.85","$7.96","$1012.04"
