,ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc,rsi
0,TSLA,2020-07-27 04:00:00 UTC,94.7667,103.2667,91.6667,102.8667,235682025,98.5225,491032,,
1,TSLA,2020-08-11 04:00:00 UTC,95.1993,99.3333,91.0,97.5487,127342440,93.6189,353662,,
2,TSLA,2020-08-03 04:00:00 UTC,96.6667,100.654,96.2,99.0,130051275,99.0024,291287,,
3,TSLA,2020-08-10 04:00:00 UTC,96.9987,97.2653,92.3893,94.2,110718915,94.6378,294960,,
4,TSLA,2020-08-12 04:00:00 UTC,97.7433,105.6667,95.6667,104.3333,325471545,101.1303,798397,,
5,TSLA,2020-07-24 04:00:00 UTC,98.0973,98.1313,91.1027,93.4667,288236145,94.8616,654036,,
6,TSLA,2020-08-06 04:00:00 UTC,98.5333,101.154,98.1727,99.4933,88316910,99.6067,198456,,
7,TSLA,2020-08-07 04:00:00 UTC,99.0,100.1987,94.334,96.7333,131371875,96.8296,333095,,
8,TSLA,2020-08-04 04:00:00 UTC,99.01,101.8273,97.4667,99.4667,123150975,99.2388,254481,,
9,TSLA,2020-07-29 04:00:00 UTC,99.2013,102.3207,98.4327,100.0767,139468035,100.7014,280442,,
10,TSLA,2020-07-30 04:00:00 UTC,99.52,100.8827,98.008,100.4,112767120,99.5042,235134,,
11,TSLA,2020-07-20 04:00:00 UTC,99.8293,111.7267,99.2,110.8667,254274645,105.2421,579250,,
12,TSLA,2020-07-31 04:00:00 UTC,99.9733,101.8667,94.732,95.0333,180655350,97.0608,399488,,
13,TSLA,2020-08-05 04:00:00 UTC,100.0,100.5333,97.8873,98.8,73420980,98.9936,173239,,
14,TSLA,2020-07-28 04:00:00 UTC,101.0667,104.3133,98.0053,98.084,235230075,101.0592,457483,,47.23977542719565
15,TSLA,2020-08-13 04:00:00 UTC,104.7333,110.0787,104.132,109.0,303633870,108.0074,706780,,57.483680014599685
16,TSLA,2020-07-22 04:00:00 UTC,105.6667,114.4313,103.5933,110.4667,209938050,107.0989,556020,,58.645513710832546
17,TSLA,2023-01-06 03:52:00 UTC,107.69,114.39,101.2,113.68,218335774,108.9802,2014523,,61.150299775688694
18,TSLA,2022-12-28 03:52:00 UTC,107.84,116.27,104.22,114.0,218285139,111.9384,2045747,,61.40103024229661
19,TSLA,2020-08-14 04:00:00 UTC,108.8667,112.2667,108.4427,109.754,186628245,109.8572,435042,,56.21662544165139
20,TSLA,2023-01-04 03:52:00 UTC,108.88,114.59,107.28,113.66,178019957,111.7742,1651788,,59.59634620290899
21,TSLA,2020-08-17 04:00:00 UTC,110.82,123.0573,110.82,122.4,300050220,118.4249,752371,,65.9331153441463
22,TSLA,2020-07-21 04:00:00 UTC,112.0,113.2,103.8667,105.3333,240481830,107.5063,561525,,49.58067751937459
23,TSLA,2020-07-23 04:00:00 UTC,112.0013,112.6,98.706,98.966,362309460,104.5265,866382,,45.087764092619395
24,TSLA,2023-01-05 03:52:00 UTC,112.5,114.87,107.1601,110.35,155520327,109.6433,1336387,,53.245398066684785
25,TSLA,2020-09-09 03:52:00 UTC,113.3,125.2667,112.5767,124.9933,235570740,118.4678,1434402,,61.22491502242719
26,TSLA,2023-01-09 03:52:00 UTC,114.03,123.52,113.75,119.55,187521059,121.0552,1739903,,57.30942363672478
27,TSLA,2022-12-29 03:52:00 UTC,115.0,123.57,114.47,122.84,218652096,120.5355,1901925,,59.01549082681911
28,TSLA,2023-01-13 03:52:00 UTC,118.0,123.0,115.6,122.0299,178920458,119.4459,1429803,,58.39664928567674
29,TSLA,2023-01-11 03:52:00 UTC,118.63,125.95,118.23,123.19,180549517,122.6693,1509045,,59.058737930827924
30,TSLA,2023-01-03 03:52:00 UTC,120.02,121.9,104.64,107.0,228141682,109.5276,2539815,,47.659550868600355
31,TSLA,2023-01-10 03:52:00 UTC,120.6,122.76,114.92,118.66,165887507,117.8297,1402351,,54.47474854109844
32,TSLA,2020-09-10 03:52:00 UTC,122.0,132.9967,120.1667,125.2,253528419,127.3427,1410311,,57.794275874875574
