Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
MP260116P00048000,MP260116P00048000,BUY,FILLED,1.0,1.0,@1.5,1.45,DAY,2025-12-30T14:41:58.248Z,2025-12-30T14:41:58.288Z
MP260116P00048000,MP260116P00048000,BUY,FILLED,3.0,3.0,@1.3,1.3,DAY,2025-12-30T14:41:40.035Z,2025-12-30T14:41:40.112Z
QQQ260102C00626000,QQQ260102C00626000,SELL,FILLED,3.0,3.0,@0.97,0.97,DAY,2025-12-30T14:32:11.235Z,2025-12-30T14:32:13.257Z
TSLA260130P00425000,TSLA260130P00425000,BUY,FILLED,1.0,1.0,@11.95,11.9,DAY,2025-12-29T20:50:51.543Z,2025-12-29T20:51:26.412Z
COIN260130P00215000,COIN260130P00215000,BUY,FILLED,2.0,2.0,@5.9,5.9,DAY,2025-12-29T18:46:39.374Z,2025-12-29T18:46:39.422Z
QQQ260102C00626000,QQQ260102C00626000,BUY,FILLED,3.0,3.0,@1.01,1.01,DAY,2025-12-29T18:30:27.028Z,2025-12-29T18:30:27.164Z
TSLA260130P00425000,TSLA260130P00425000,SELL,FILLED,1.0,1.0,@10.65,10.65,DAY,2025-12-29T18:09:53.186Z,2025-12-29T18:09:53.225Z
PPLT260116P00170000,PPLT260116P00170000,SELL,FILLED,2.0,2.0,@3.0,3.03,DAY,2025-12-29T15:02:29.899Z,2025-12-29T15:02:29.955Z
TSLA260130P00425000,TSLA260130P00425000,BUY,FILLED,1.0,1.0,@11.95,11.95,DAY,2025-12-29T14:58:46.056Z,2025-12-29T14:58:46.118Z
GDX260116C00091000,GDX260116C00091000,SELL,FILLED,3.0,3.0,@1.97,1.97,DAY,2025-12-29T14:39:22.111Z,2025-12-29T14:39:22.154Z
SLV260116C00072500,SLV260116C00072500,SELL,FILLED,1.0,1.0,@1.91,1.91,DAY,2025-12-29T14:37:57.393Z,2025-12-29T14:37:57.438Z
GLD260220C00382000,GLD260220C00382000,SELL,FILLED,2.0,2.0,@27.55,27.79,DAY,2025-12-29T14:37:40.871Z,2025-12-29T14:37:41.159Z
SLV260116C00072500,SLV260116C00072500,SELL,FILLED,2.0,2.0,@4.65,4.7,DAY,2025-12-26T20:41:59.820Z,2025-12-26T20:41:59.978Z
GDX260116C00091000,GDX260116C00091000,SELL,FILLED,2.0,2.0,@3.85,3.9,DAY,2025-12-26T17:31:02.499Z,2025-12-26T17:31:23.246Z
COIN260130P00215000,COIN260130P00215000,BUY,FILLED,1.0,1.0,@5.65,5.65,DAY,2025-12-26T17:29:57.959Z,2025-12-26T17:30:08.895Z
GDX260116C00091000,GDX260116C00091000,SELL,FILLED,5.0,5.0,@4.2,4.2,DAY,2025-12-26T16:35:17.458Z,2025-12-26T16:35:17.524Z
BABA260320P00140000,BABA260320P00140000,BUY,FILLED,2.0,2.0,@5.25,5.25,DAY,2025-12-26T16:22:26.321Z,2025-12-26T16:22:26.360Z
SLV260116C00072500,SLV260116C00072500,BUY,FILLED,3.0,3.0,@3.05,3.05,DAY,2025-12-26T16:12:30.681Z,2025-12-26T16:12:30.713Z
COIN260130P00215000,COIN260130P00215000,SELL,FILLED,1.0,1.0,@5.7,6.06,DAY,2025-12-26T15:42:12.718Z,2025-12-26T15:42:12.993Z
QQQ260220P00600000,QQQ260220P00600000,BUY,FILLED,2.0,2.0,@3.87,3.86,DAY,2025-12-26T15:16:06.747Z,2025-12-26T15:16:06.891Z
QQQ260220P00575000,QQQ260220P00575000,SELL,FILLED,2.0,2.0,@3.87,3.86,DAY,2025-12-26T15:16:06.747Z,2025-12-26T15:16:06.891Z
COIN260130P00215000,COIN260130P00215000,BUY,FILLED,2.0,2.0,@6.7,6.7,DAY,2025-12-26T15:13:16.764Z,2025-12-26T15:13:16.814Z
GLD251224C00411000,GLD251224C00411000,SELL,FILLED,1.0,1.0,@1.16,1.16,DAY,2025-12-24T17:20:57.641Z,2025-12-24T17:20:57.773Z
GLD251224C00411000,GLD251224C00411000,BUY,FILLED,1.0,1.0,@0.62,0.62,DAY,2025-12-24T15:32:06.129Z,2025-12-24T15:32:31.673Z
PPLT260116P00170000,PPLT260116P00170000,SELL,CANCELLED,0.0,2.0,@1.55,,DAY,2025-12-23T18:34:46.886Z,
BABA260116C00160000,BABA260116C00160000,BUY,FILLED,2.0,2.0,@2.19,2.19,DAY,2025-12-23T17:07:32.786Z,2025-12-23T17:07:32.953Z
ASTS260220C00110000,ASTS260220C00110000,SELL,FILLED,1.0,1.0,@7.55,7.68,DAY,2025-12-23T15:04:57.468Z,2025-12-23T15:05:04.241Z
NXT260220C00080000,NXT260220C00080000,SELL,FILLED,1.0,1.0,@15.7,15.7,DAY,2025-12-23T15:04:42.558Z,2025-12-23T15:04:42.597Z
QQQ251223P00616000,QQQ251223P00616000,BUY,FILLED,2.0,2.0,@0.5,0.48,DAY,2025-12-23T15:03:31.560Z,2025-12-23T15:03:50.405Z
QQQ260220P00600000,QQQ260220P00600000,BUY,FILLED,1.0,1.0,@4.39,4.39,DAY,2025-12-23T14:59:51.840Z,2025-12-23T15:00:19.462Z
QQQ260220P00575000,QQQ260220P00575000,SELL,FILLED,1.0,1.0,@4.39,4.39,DAY,2025-12-23T14:59:51.840Z,2025-12-23T15:00:19.462Z
GDX251226C00092000,GDX251226C00092000,SELL,FILLED,8.0,8.0,@0.51,0.51,DAY,2025-12-23T14:41:08.926Z,2025-12-23T14:41:08.964Z
QQQ260220P00600000,QQQ260220P00600000,BUY,FILLED,1.0,1.0,@4.32,4.32,DAY,2025-12-23T14:32:25.756Z,2025-12-23T14:32:25.810Z
QQQ260220P00575000,QQQ260220P00575000,SELL,FILLED,1.0,1.0,@4.32,4.32,DAY,2025-12-23T14:32:25.756Z,2025-12-23T14:32:25.810Z
KRE260116P00051000,KRE260116P00051000,SELL,FILLED,40.0,40.0,@0.01,0.01,DAY,2025-12-23T14:31:30.549Z,2025-12-23T15:31:42.022Z
KRE260116P00050000,KRE260116P00050000,BUY,FILLED,40.0,40.0,@0.04,0.04,DAY,2025-12-23T14:30:54.559Z,2025-12-23T14:31:11.755Z
ASTS260220C00110000,ASTS260220C00110000,SELL,FILLED,1.0,1.0,@5.8,5.9,DAY,2025-12-23T14:30:19.225Z,2025-12-23T14:30:19.335Z
QQQ260220P00600000,QQQ260220P00600000,BUY,FILLED,1.0,1.0,@4.38,4.37,DAY,2025-12-22T20:51:56.513Z,2025-12-22T20:52:23.212Z
