Name,Symbol,InstrumentType,Side,Action,PositionIntent,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SMST,SMST,EQUITY,BUY,BUY,,CANCELLED,0.0,40.0,@96.07,,DAY,2026-06-26T20:11:31.456Z,
SMST,SMST,EQUITY,BUY,BUY,,CANCELLED,0.0,40.0,@96.1,,DAY,2026-06-26T20:10:00.693Z,
MSFT,MSFT,EQUITY,SELL,SELL,,FILLED,13.0,13.0,@372.0,372.0,DAY,2026-06-26T20:04:14.230Z,2026-06-26T20:04:14.269Z
SNOW,SNOW,EQUITY,SELL,SELL,,FILLED,25.0,25.0,@247.53,247.57,DAY,2026-06-26T20:04:08.718Z,2026-06-26T20:04:08.755Z
BE260702P00240000,BE260702P00240000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@12.0,11.17,DAY,2026-06-26T19:51:38.314Z,2026-06-26T19:51:45.956Z
GLD260706C00379000,GLD260706C00379000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@3.4,3.32,DAY,2026-06-26T19:14:10.244Z,2026-06-26T19:14:21.283Z
BE260702P00240000,BE260702P00240000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,2.0,2.0,@4.65,4.65,DAY,2026-06-26T19:14:01.194Z,2026-06-26T19:14:25.631Z
MSTR260702P00067000,MSTR260702P00067000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,6.0,6.0,@0.73,0.76,DAY,2026-06-26T19:09:05.593Z,2026-06-26T19:09:22.039Z
UMC260717P00020000,UMC260717P00020000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,20.0,20.0,@0.4,0.4,DAY,2026-06-26T19:00:21.160Z,2026-06-26T19:00:52.361Z
AMKR260717P00065000,AMKR260717P00065000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@1.9,1.9,DAY,2026-06-26T18:58:41.901Z,2026-06-26T18:58:55.826Z
MSTR260702P00067000,MSTR260702P00067000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,7.0,7.0,@0.8,0.81,DAY,2026-06-26T18:51:29.565Z,2026-06-26T18:51:29.807Z
MU260702P00900000,MU260702P00900000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,2.0,2.0,@5.35,5.35,DAY,2026-06-26T18:47:26.098Z,2026-06-26T18:47:33.947Z
MSTR260702P00067000,MSTR260702P00067000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,15.0,15.0,@0.78,0.78,DAY,2026-06-26T18:47:20.746Z,2026-06-26T18:47:20.803Z
MU260702P00900000,MU260702P00900000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,2.0,2.0,@5.25,5.25,DAY,2026-06-26T18:31:19.505Z,2026-06-26T18:31:27.126Z
GLD260706C00379000,GLD260706C00379000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,3.0,3.0,@3.55,3.55,DAY,2026-06-26T17:53:48.328Z,2026-06-26T17:53:56.268Z
GTLB,GTLB,EQUITY,SELL,SELL,,FILLED,200.0,200.0,@28.55,28.55,DAY,2026-06-26T17:26:35.787Z,2026-06-26T17:26:42.074Z
WTIU,WTIU,EQUITY,BUY,BUY,,FILLED,400.0,400.0,,13.41,DAY,2026-06-26T17:26:02.627Z,2026-06-26T17:26:17.482Z
WTIU,WTIU,EQUITY,SELL,SELL,,FILLED,400.0,400.0,@13.34,13.36,DAY,2026-06-26T17:12:14.993Z,2026-06-26T17:12:15.040Z
BE260702P00240000,BE260702P00240000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,2.0,2.0,@5.8,5.8,DAY,2026-06-26T16:02:39.566Z,2026-06-26T16:02:39.611Z
