Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY251231P00683000,SPY251231P00683000,Sell,Filled,3,3,@0.2200000000,0.2200000000,DAY,12/31/2025 14:55:26 EST,12/31/2025 14:55:26 EST
SPY251231P00683000,SPY251231P00683000,Buy,Filled,3,3,@0.4400000000,0.4400000000,DAY,12/31/2025 10:52:06 EST,12/31/2025 10:52:07 EST
COIN260220P00200000,COIN260220P00200000,Buy,Filled,1,1,@6.6500000000,6.6500000000,DAY,12/31/2025 10:49:05 EST,12/31/2025 10:49:19 EST
MP260116P00048000,MP260116P00048000,Buy,Filled,1,1,@1.4500000000,1.4500000000,DAY,12/30/2025 09:41:58 EST,12/30/2025 09:41:58 EST
MP260116P00048000,MP260116P00048000,Buy,Filled,3,3,@1.3000000000,1.3000000000,DAY,12/30/2025 09:41:40 EST,12/30/2025 09:41:40 EST
QQQ260102C00626000,QQQ260102C00626000,Sell,Filled,3,3,@0.9700000000,0.9700000000,DAY,12/30/2025 09:32:11 EST,12/30/2025 09:32:13 EST
TSLA260130P00425000,TSLA260130P00425000,Buy,Filled,1,1,@11.9000000000,11.9000000000,DAY,12/29/2025 15:50:51 EST,12/29/2025 15:51:26 EST
COIN260130P00215000,COIN260130P00215000,Buy,Filled,2,2,@5.9000000000,5.9000000000,DAY,12/29/2025 13:46:39 EST,12/29/2025 13:46:39 EST
QQQ260102C00626000,QQQ260102C00626000,Buy,Filled,3,3,@1.0100000000,1.0100000000,DAY,12/29/2025 13:30:27 EST,12/29/2025 13:30:27 EST
TSLA260130P00425000,TSLA260130P00425000,Sell,Filled,1,1,@10.6500000000,10.6500000000,DAY,12/29/2025 13:09:53 EST,12/29/2025 13:09:53 EST
PPLT260116P00170000,PPLT260116P00170000,Sell,Filled,2,2,@3.0300000000,3.0300000000,DAY,12/29/2025 10:02:29 EST,12/29/2025 10:02:29 EST
TSLA260130P00425000,TSLA260130P00425000,Buy,Filled,1,1,@11.9500000000,11.9500000000,DAY,12/29/2025 09:58:46 EST,12/29/2025 09:58:46 EST
GDX260116C00091000,GDX260116C00091000,Sell,Filled,3,3,@1.9700000000,1.9700000000,DAY,12/29/2025 09:39:22 EST,12/29/2025 09:39:22 EST
SLV260116C00072500,SLV260116C00072500,Sell,Filled,1,1,@1.9100000000,1.9100000000,DAY,12/29/2025 09:37:57 EST,12/29/2025 09:37:57 EST
GLD260220C00382000,GLD260220C00382000,Sell,Filled,2,2,@27.7900000000,27.7900000000,DAY,12/29/2025 09:37:40 EST,12/29/2025 09:37:41 EST
SLV260116C00072500,SLV260116C00072500,Sell,Filled,2,2,@4.7000000000,4.7000000000,DAY,12/26/2025 15:41:59 EST,12/26/2025 15:41:59 EST
GDX260116C00091000,GDX260116C00091000,Sell,Filled,2,2,@3.9000000000,3.9000000000,DAY,12/26/2025 12:31:02 EST,12/26/2025 12:31:23 EST
COIN260130P00215000,COIN260130P00215000,Buy,Filled,1,1,@5.6500000000,5.6500000000,DAY,12/26/2025 12:29:57 EST,12/26/2025 12:30:08 EST
GDX260116C00091000,GDX260116C00091000,Sell,Filled,5,5,@4.2000000000,4.2000000000,DAY,12/26/2025 11:35:17 EST,12/26/2025 11:35:17 EST
BABA260320P00140000,BABA260320P00140000,Buy,Filled,2,2,@5.2500000000,5.2500000000,DAY,12/26/2025 11:22:26 EST,12/26/2025 11:22:26 EST
SLV260116C00072500,SLV260116C00072500,Buy,Filled,3,3,@3.0500000000,3.0500000000,DAY,12/26/2025 11:12:30 EST,12/26/2025 11:12:30 EST
COIN260130P00215000,COIN260130P00215000,Sell,Filled,1,1,@6.0600000000,6.0600000000,DAY,12/26/2025 10:42:12 EST,12/26/2025 10:42:12 EST
QQQ Vertical,,Buy,Filled,2,2,@3.8600000000,3.8600000000,DAY,12/26/2025 10:16:06 EST,12/26/2025 10:16:06 EST
,QQQ260220P00600000,Buy,Filled,2,2,@8.40,8.40,DAY,12/26/2025 10:16:06 EST,12/26/2025 10:16:06 EST
,QQQ260220P00575000,Sell,Filled,2,2,@4.54,4.54,DAY,12/26/2025 10:16:06 EST,12/26/2025 10:16:06 EST
COIN260130P00215000,COIN260130P00215000,Buy,Filled,2,2,@6.7000000000,6.7000000000,DAY,12/26/2025 10:13:16 EST,12/26/2025 10:13:16 EST
GLD251224C00411000,GLD251224C00411000,Sell,Filled,1,1,@1.1600000000,1.1600000000,DAY,12/24/2025 12:20:57 EST,12/24/2025 12:20:57 EST
GLD251224C00411000,GLD251224C00411000,Buy,Filled,1,1,@0.6200000000,0.6200000000,DAY,12/24/2025 10:32:06 EST,12/24/2025 10:32:31 EST
PPLT260116P00170000,PPLT260116P00170000,Sell,Cancelled,0,2,@1.55,,DAY,12/23/2025 13:34:46 EST,
BABA260116C00160000,BABA260116C00160000,Buy,Filled,2,2,@2.1900000000,2.1900000000,DAY,12/23/2025 12:07:32 EST,12/23/2025 12:07:32 EST
ASTS260220C00110000,ASTS260220C00110000,Sell,Filled,1,1,@7.6800000000,7.6800000000,DAY,12/23/2025 10:04:57 EST,12/23/2025 10:05:04 EST
NXT260220C00080000,NXT260220C00080000,Sell,Filled,1,1,@15.7000000000,15.7000000000,DAY,12/23/2025 10:04:42 EST,12/23/2025 10:04:42 EST
QQQ251223P00616000,QQQ251223P00616000,Buy,Filled,2,2,@0.4800000000,0.4800000000,DAY,12/23/2025 10:03:31 EST,12/23/2025 10:03:50 EST
QQQ Vertical,,Buy,Filled,1,1,@4.3900000000,4.3900000000,DAY,12/23/2025 09:59:51 EST,12/23/2025 10:00:19 EST
,QQQ260220P00600000,Buy,Filled,1,1,@9.72,9.72,DAY,12/23/2025 09:59:51 EST,12/23/2025 10:00:19 EST
,QQQ260220P00575000,Sell,Filled,1,1,@5.33,5.33,DAY,12/23/2025 09:59:51 EST,12/23/2025 10:00:19 EST
GDX251226C00092000,GDX251226C00092000,Sell,Filled,8,8,@0.5100000000,0.5100000000,DAY,12/23/2025 09:41:08 EST,12/23/2025 09:41:08 EST
QQQ Vertical,,Buy,Filled,1,1,@4.3200000000,4.3200000000,DAY,12/23/2025 09:32:25 EST,12/23/2025 09:32:25 EST
,QQQ260220P00600000,Buy,Filled,1,1,@9.59,9.59,DAY,12/23/2025 09:32:25 EST,12/23/2025 09:32:25 EST
,QQQ260220P00575000,Sell,Filled,1,1,@5.27,5.27,DAY,12/23/2025 09:32:25 EST,12/23/2025 09:32:25 EST
KRE260116P00051000,KRE260116P00051000,Sell,Filled,40,40,@0.0100000000,0.0100000000,DAY,12/23/2025 09:31:30 EST,12/23/2025 10:31:42 EST
KRE260116P00050000,KRE260116P00050000,Buy,Filled,40,40,@0.0400000000,0.0400000000,DAY,12/23/2025 09:30:54 EST,12/23/2025 09:31:11 EST
ASTS260220C00110000,ASTS260220C00110000,Sell,Filled,1,1,@5.9000000000,5.9000000000,DAY,12/23/2025 09:30:19 EST,12/23/2025 09:30:19 EST
QQQ Vertical,,Buy,Filled,1,1,@4.3700000000,4.3700000000,DAY,12/22/2025 15:51:56 EST,12/22/2025 15:52:23 EST
,QQQ260220P00600000,Buy,Filled,1,1,@9.72,9.72,DAY,12/22/2025 15:51:56 EST,12/22/2025 15:52:23 EST
,QQQ260220P00575000,Sell,Filled,1,1,@5.35,5.35,DAY,12/22/2025 15:51:56 EST,12/22/2025 15:52:23 EST
PPLT260116P00170000,PPLT260116P00170000,Buy,Filled,2,2,@2.0000000000,2.0000000000,DAY,12/22/2025 15:25:41 EST,12/22/2025 15:25:41 EST
PALL260116C00170000,PALL260116C00170000,Sell,Filled,2,2,@4.7200000000,4.7200000000,DAY,12/22/2025 15:22:51 EST,12/22/2025 15:22:51 EST
PALL260116C00170000,PALL260116C00170000,Sell,Filled,1,1,@4.4000000000,4.4000000000,DAY,12/22/2025 15:22:34 EST,12/22/2025 15:22:34 EST
KRE260116P00050000,KRE260116P00050000,Buy,Cancelled,0,40,@0.010,,DAY,12/22/2025 12:49:51 EST,
