date,quarter,direction,body_gap_pct,prior_open,prior_close,open,close,final_reversal,original_side_30m,crossed_by_30m,original_side_60m,crossed_by_60m,original_side_120m,crossed_by_120m,close_10m,reclaim_state_10m,any_minute_close_reclaim_first10,max_intrabar_reclaim_fraction_first10
2024-07-31,2024 Q3,up,0.43361597080604497,465.85,457.53,467.87,471.07,False,True,False,True,False,True,False,467.65,partial_reclaim,True,0.14119922630560688
2024-08-01,2024 Q3,up,0.14647504617149032,467.87,471.07,471.76,459.66,True,True,False,False,True,False,True,472.6999,no_reclaim,True,0.6665217391304437
2024-08-02,2024 Q3,down,-1.9079319497019576,471.76,459.66,450.89,448.75,False,True,False,True,False,True,False,452.53,partial_reclaim,True,0.18700114025085282
2024-08-05,2024 Q3,down,-5.357103064066859,450.89,448.75,424.71,435.37,False,True,False,True,False,True,False,431.93,partial_reclaim,True,0.31364392678868613
2024-08-06,2024 Q3,up,0.42722282196752115,424.71,435.37,437.23,439.53,False,True,True,True,True,True,True,437.3606,no_reclaim,True,0.5752688172042932
2024-08-07,2024 Q3,up,1.5835096580438357,437.23,439.53,446.49,434.77,True,True,False,True,False,True,False,447.9,no_reclaim,False,0.048850574712648
2024-08-12,2024 Q3,up,0.21757953864256496,446.74,450.41,451.39,451.38,False,False,True,True,True,True,True,450.91,partial_reclaim,True,0.7346938775510192
2024-08-13,2024 Q3,up,0.9814129688296092,451.39,451.38,455.82,462.58,False,True,False,True,False,True,False,456.48,no_reclaim,False,0.031531531531528476
2024-08-14,2024 Q3,up,0.20104630550390468,455.82,462.58,463.51,462.73,False,False,True,False,True,True,True,463.15,partial_reclaim,True,1.3010752688171727
2024-08-15,2024 Q3,up,1.1326616469979012,463.51,462.73,468.76,474.42,False,True,False,True,False,True,False,469.57,no_reclaim,True,0.06301824212271927
2024-08-21,2024 Q3,up,0.14572707400852813,480.35,480.26,481.05,482.5,False,True,False,True,False,True,True,481.16,no_reclaim,True,0.8860759493670513
2024-08-22,2024 Q3,up,0.48497409326424545,481.05,482.5,484.84,474.85,True,True,False,True,True,False,True,484.5021,partial_reclaim,True,0.27273504273503857
