date,quarter,direction,body_gap_pct,prior_close,open,close,touch_reclaim,touch_minute,close_reclaim,close_reclaim_minute,reclaim_time_bucket,outcome,reclaim_held_at_close,post_reclaim_max_extension_pct
2024-07-31,2024 Q3,up,0.43361597080604497,457.53,467.87,471.07,False,,False,,never,failed_to_continuation,False,
2024-08-01,2024 Q3,up,0.14647504617149032,471.07,471.76,459.66,True,52,True,52,30–60m,held_reversal,True,3.203345574967622
2024-08-02,2024 Q3,down,1.9079319497019576,459.66,450.89,448.75,False,,False,,never,failed_to_continuation,False,
2024-08-05,2024 Q3,down,5.357103064066859,448.75,424.71,435.37,False,,False,,never,failed_partial,False,
2024-08-06,2024 Q3,up,0.42722282196752115,435.37,437.23,439.53,True,12,True,12,10–30m,failed_to_continuation,False,0.1860486482761794
2024-08-07,2024 Q3,up,1.5835096580438357,439.53,446.49,434.77,True,228,True,228,>120m,held_reversal,True,1.1739812982048936
2024-08-12,2024 Q3,up,0.21757953864256496,450.41,451.39,451.38,True,12,True,12,10–30m,failed_partial,False,0.41193579183411366
2024-08-13,2024 Q3,up,0.9814129688296092,451.38,455.82,462.58,False,,False,,never,failed_to_continuation,False,
2024-08-14,2024 Q3,up,0.20104630550390468,462.58,463.51,462.73,True,5,True,11,10–30m,failed_partial,False,0.9036274806519967
2024-08-15,2024 Q3,up,1.1326616469979012,462.73,468.76,474.42,False,,False,,never,failed_to_continuation,False,
2024-08-21,2024 Q3,up,0.14572707400852813,480.26,481.05,482.5,True,82,True,85,60–120m,failed_to_continuation,False,0.19572731437138172
2024-08-22,2024 Q3,up,0.48497409326424545,482.5,484.84,474.85,True,41,True,41,30–60m,held_reversal,True,1.8010362694300515
2024-08-27,2024 Q3,down,0.3471199562418481,475.34,473.69,476.76,True,42,True,54,30–60m,held_reversal,True,0.5259393276391635
2024-08-30,2024 Q3,up,0.37187288708588895,470.66,475.04,476.27,True,187,False,,never,failed_to_continuation,False,
2024-09-03,2024 Q3,down,0.3873358033007812,476.27,473.2,461.81,False,,False,,never,failed_to_continuation,False,
2024-09-04,2024 Q3,down,0.6799333059050228,461.81,458.67,460.61,True,60,True,60,60–120m,failed_partial,False,0.5716636712067704
2024-09-10,2024 Q3,up,0.39167363464331917,454.46,456.24,458.66,True,81,True,140,>120m,failed_to_continuation,False,0.4906922501430184
2024-09-11,2024 Q3,up,0.27253303100336357,458.66,459.91,468.62,True,0,True,4,≤10m,failed_to_continuation,False,1.6090350150438346
2024-09-17,2024 Q3,up,0.6444932803651549,473.24,476.29,473.49,True,173,True,173,>120m,failed_partial,False,0.47967204800946284
2024-09-19,2024 Q3,up,1.6663155677269836,471.44,482.61,483.36,False,,False,,never,failed_to_continuation,False,
2024-09-24,2024 Q3,up,0.2939715137462606,483.04,484.46,485.37,True,30,True,30,30–60m,failed_to_continuation,False,0.5941536932759202
2024-09-26,2024 Q3,up,1.554073525173938,485.82,493.37,489.47,True,91,False,,never,failed_partial,False,
2024-09-30,2024 Q3,down,0.19928094504366722,486.75,485.78,488.07,True,1,True,1,≤10m,held_reversal,True,0.3410374935798716
2024-10-02,2024 Q4,down,0.1890830510939745,481.27,480.36,481.95,True,47,True,48,30–60m,held_reversal,True,0.5423151245662546
2024-10-03,2024 Q4,down,0.12906986426847178,481.95,479.74,481.59,True,12,True,23,10–30m,failed_partial,False,0.5384375972611324
2024-10-04,2024 Q4,up,1.216802674474149,481.59,487.45,487.32,False,,False,,never,failed_partial,False,
2024-10-07,2024 Q4,down,0.3960436674053991,487.32,485.39,482.1,False,,False,,never,failed_to_continuation,False,
2024-10-14,2024 Q4,up,0.48848710880491364,493.36,495.77,497.5,False,,False,,never,failed_to_continuation,False,
2024-10-17,2024 Q4,up,1.0708905085711873,490.91,496.44,491.25,False,,False,,never,failed_partial,False,
2024-10-21,2024 Q4,down,0.16394769866008296,494.47,493.25,495.42,True,6,True,6,≤10m,held_reversal,True,0.3559366594535545
2024-10-22,2024 Q4,down,0.10542321338063987,495.42,492.73,495.96,True,36,True,245,>120m,held_reversal,True,0.4087440959186099
2024-10-25,2024 Q4,up,0.5727981800454973,492.32,495.14,495.32,False,,False,,never,failed_to_continuation,False,
2024-10-28,2024 Q4,up,0.6339336186707456,495.32,498.46,495.4,True,385,True,385,>120m,failed_partial,False,0.04441573124444207
2024-10-31,2024 Q4,down,0.8058342398968521,496.38,492.38,483.85,False,,False,,never,failed_to_continuation,False,
2024-11-05,2024 Q4,up,0.16227763855223287,486.01,487.61,492.21,False,,False,,never,failed_to_continuation,False,
2024-11-06,2024 Q4,up,1.6964303854046126,492.21,500.56,505.58,False,,False,,never,failed_to_continuation,False,
2024-11-07,2024 Q4,up,0.5577752284504855,505.58,508.4,513.54,False,,False,,never,failed_to_continuation,False,
2024-11-11,2024 Q4,up,0.23923444976077235,514.14,515.37,513.84,True,13,True,13,10–30m,held_reversal,True,0.6262885595363074
2024-11-15,2024 Q4,down,1.1303544398356569,508.69,502.94,496.57,False,,False,,never,failed_to_continuation,False,
2024-11-19,2024 Q4,down,0.14253307369561652,500.02,497.42,503.46,True,67,True,67,60–120m,held_reversal,True,0.7866885324587042
2024-11-21,2024 Q4,up,0.6101317646123539,503.17,506.24,504.98,True,6,True,6,≤10m,failed_partial,False,1.1149313353339851
2024-11-22,2024 Q4,down,0.11089548100915447,504.98,504.42,505.79,True,0,True,3,≤10m,held_reversal,True,0.30694284922174236
2024-11-25,2024 Q4,up,0.8125902054212153,505.79,509.9,506.59,True,164,True,164,>120m,failed_partial,False,0.3020028074892805
2024-12-02,2024 Q4,up,0.249146623768981,509.74,511.01,515.29,False,,False,,never,failed_to_continuation,False,
2024-12-04,2024 Q4,up,0.6674792501015769,516.87,520.32,523.26,False,,False,,never,failed_to_continuation,False,
2024-12-11,2024 Q4,up,0.26354990260111233,520.6,525.0,529.92,False,,False,,never,failed_to_continuation,False,
2024-12-13,2024 Q4,up,0.5268344451182738,526.5,530.46,530.53,False,,False,,never,failed_to_continuation,False,
2024-12-16,2024 Q4,up,0.48065142404767336,530.53,533.08,538.17,False,,False,,never,failed_to_continuation,False,
2024-12-18,2024 Q4,down,0.12131392310563704,535.8,535.15,516.47,True,42,True,44,30–60m,failed_to_continuation,False,0.2015490854796689
2024-12-20,2024 Q4,down,0.7254410020032243,514.17,510.44,518.66,True,53,True,53,30–60m,held_reversal,True,2.071299375692882
2024-12-23,2024 Q4,up,0.17159603593877026,518.66,519.55,522.87,True,16,True,19,10–30m,failed_to_continuation,False,0.4877954729495185
2024-12-24,2024 Q4,up,0.37485417025264756,522.87,524.83,529.96,False,,False,,never,failed_to_continuation,False,
2024-12-27,2024 Q4,down,0.4372350090854127,529.6,526.01,522.56,False,,False,,never,failed_to_continuation,False,
2024-12-30,2024 Q4,down,1.3491273729332454,522.56,515.51,515.61,False,,False,,never,failed_partial,False,
2024-12-31,2024 Q4,up,0.2501890964100806,515.61,516.9,511.23,True,8,True,8,≤10m,held_reversal,True,1.0376059424759065
2025-01-06,2025 Q1,up,1.0490184735238328,518.58,524.02,524.54,False,,False,,never,failed_to_continuation,False,
2025-01-07,2025 Q1,up,0.20017539177186183,524.54,525.59,515.18,True,5,True,5,≤10m,held_reversal,True,2.1466427727151394
2025-01-10,2025 Q1,down,0.6989205560301359,515.27,511.48,507.19,False,,False,,never,failed_to_continuation,False,
2025-01-13,2025 Q1,down,1.1810169758867506,507.19,501.2,505.56,False,,False,,never,failed_partial,False,
2025-01-14,2025 Q1,up,0.6290054592926753,505.56,508.74,505.08,True,81,True,89,60–120m,held_reversal,True,0.785267821821352
2025-01-15,2025 Q1,up,0.8432598183748086,505.08,513.03,516.7,False,,False,,never,failed_to_continuation,False,
2025-01-16,2025 Q1,up,0.4412618540739155,516.7,518.98,513.08,True,15,True,16,10–30m,held_reversal,True,0.7257596284110702
2025-01-17,2025 Q1,up,0.7456934756638001,513.08,522.85,521.74,False,,False,,never,failed_partial,False,
2025-01-21,2025 Q1,up,0.3117528927990776,521.74,524.48,524.8,True,10,True,24,10–30m,failed_to_continuation,False,0.32199946333423995
2025-01-22,2025 Q1,up,0.9089176829268464,524.8,529.57,531.51,False,,False,,never,failed_to_continuation,False,
2025-01-23,2025 Q1,down,0.10008119795307246,531.51,529.04,532.64,True,380,True,382,>120m,held_reversal,True,0.23517901826870616
2025-01-27,2025 Q1,down,3.5175499877272753,529.63,511.0,514.21,False,,False,,never,failed_partial,False,
2025-01-28,2025 Q1,up,0.19641780595476277,514.21,515.22,521.81,True,1,True,1,≤10m,failed_to_continuation,False,0.47256957274266614
2025-01-29,2025 Q1,up,0.1245664130622437,521.81,522.46,520.83,True,1,True,1,≤10m,held_reversal,True,0.9411854889710614
2025-01-30,2025 Q1,up,0.23925276576197696,520.83,523.71,523.05,True,59,True,60,60–120m,failed_partial,False,0.5030432194766055
2025-01-31,2025 Q1,up,0.6129346393996427,523.05,526.92,522.29,True,315,True,315,>120m,held_reversal,True,0.3556065385718192
2025-02-03,2025 Q1,down,1.6887169963047177,522.29,513.47,518.11,False,,False,,never,failed_partial,False,
2025-02-04,2025 Q1,up,0.10036478740036436,518.11,518.63,524.47,False,,False,,never,failed_to_continuation,False,
2025-02-07,2025 Q1,up,0.10196374622355453,529.6,530.14,522.92,True,30,True,30,30–60m,held_reversal,True,1.3991691842900242
2025-02-11,2025 Q1,down,0.23898941618299974,529.25,525.96,527.99,True,59,True,74,60–120m,failed_partial,False,0.1265942371280036
2025-02-12,2025 Q1,down,0.6958704083960932,527.99,522.3,528.3,True,150,True,150,>120m,held_reversal,True,0.2272770317619738
2025-02-13,2025 Q1,up,0.31800113571835986,528.3,529.98,535.9,False,,False,,never,failed_to_continuation,False,
