date,direction,gap_pct,prior_close,open,close,final_reversal,price_30m,original_side_30m,crossed_by_30m,price_60m,original_side_60m,crossed_by_60m,price_120m,original_side_120m,crossed_by_120m
2024-07-30,up,0.42034921319251684,463.9,465.85,457.53,True,464.31,True,False,462.8801,False,True,459.46,False,True
2024-07-31,up,2.259961095447305,457.53,467.87,471.07,False,468.34,True,False,469.57,True,False,470.74,True,False
2024-08-01,up,0.14647504617149032,471.07,471.76,459.66,True,474.71,True,False,469.87,False,True,465.46,False,True
2024-08-02,down,-1.9079319497019576,459.66,450.89,448.75,False,449.1,True,False,446.95,True,False,446.7575,True,False
2024-08-05,down,-5.357103064066859,448.75,424.71,435.37,False,432.53,True,False,431.91,True,False,437.83,True,False
2024-08-06,up,0.42722282196752115,435.37,437.23,439.53,False,438.8,True,True,439.32,True,True,439.89,True,True
2024-08-07,up,1.5835096580438357,439.53,446.49,434.77,True,448.11,True,False,445.98,True,False,446.8,True,False
2024-08-08,up,1.446741955516706,434.77,441.06,448.07,False,440.6025,True,False,444.75,True,False,444.78,True,False
2024-08-09,down,-0.2968286205280335,448.07,446.74,450.41,True,446.29,True,True,447.77,True,True,448.07,False,True
2024-08-12,up,0.21757953864256496,450.41,451.39,451.38,False,448.96,False,True,452.71,True,True,451.13,True,True
2024-08-13,up,0.9836501395719788,451.38,455.82,462.58,False,457.66,True,False,457.79,True,False,459.3,True,False
2024-08-14,up,0.20104630550390468,462.58,463.51,462.73,False,460.89,False,True,460.395,False,True,462.79,True,True
2024-08-15,up,1.3031357379033048,462.73,468.76,474.42,False,471.38,True,False,471.71,True,False,472.34,True,False
2024-08-16,down,-0.3794106487922111,474.42,472.62,475.03,True,472.49,True,False,474.24,True,True,473.29,True,True
2024-08-20,down,-0.1911608868202741,481.27,480.35,480.26,False,482.79,False,True,480.5,True,True,479.7,True,True
2024-08-21,up,0.16449423229085713,480.26,481.05,482.5,False,481.9,True,False,481.8401,True,False,481.574,True,True
2024-08-22,up,0.48497409326424545,482.5,484.84,474.85,True,484.38,True,False,482.942,True,True,480.345,False,True
2024-08-23,up,0.9245024744656272,474.85,479.24,480.0,False,479.08,True,False,482.1874,True,False,479.53,True,False
2024-08-26,down,-0.11458333333334014,480.0,479.45,475.34,False,478.44,True,True,475.95,True,True,475.75,True,True
2024-08-27,down,-0.3471199562418481,475.34,473.69,476.76,True,474.13,True,False,476.28,False,True,476.18,False,True
2024-08-29,up,0.4094621830911027,471.35,473.28,470.66,True,476.82,True,False,475.6966,True,False,476.38,True,False
2024-08-30,up,0.930608082267459,470.66,475.04,476.27,False,475.86,True,False,474.795,True,False,472.81,True,False
