Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
ACMR260220C00043000,ACMR260220C00043000,Sell,Filled,2,2,@4.87,4.87,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
QQQ260116P00600000,QQQ260116P00600000,Buy,Filled,3,3,@4.43,4.43,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
ACMR260220C00043000,ACMR260220C00043000,Buy,Filled,2,2,@4.65,4.65,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
BIDU260220C00160000,BIDU260220C00160000,Buy,Filled,2,2,@5.62,5.62,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
COIN260123P00235000,COIN260123P00235000,Sell,Filled,1,1,@14.42,14.42,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
BABA260116P00150000,BABA260116P00150000,Sell,Filled,2,2,@2.59,2.59,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
SLV260206C00073000,SLV260206C00073000,Sell,Filled,6,6,@3.18,3.18,DAY,01/02/2026 00:00:00 EST,01/02/2026 00:00:00 EST
BIDU260220C00155000,BIDU260220C00155000,Buy,Filled,3,3,@3.18,3.18,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
COIN260123P00235000,COIN260123P00235000,Sell,Filled,1,1,@12.17,12.17,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
BIDU260220C00155000,BIDU260220C00155000,Buy,Filled,8,8,@3.02,3.02,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
SLV260206C00073000,SLV260206C00073000,Buy,Filled,2,2,@4.32,4.32,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
SLV260206C00073000,SLV260206C00073000,Buy,Filled,5,5,@4.34,4.34,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
SLV260116C00073000,SLV260116C00073000,Sell,Filled,1E+1,1E+1,@2.88,2.88,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
SLV260206C00073000,SLV260206C00073000,Buy,Filled,5,5,@4.4,4.4,DAY,12/30/2025 00:00:00 EST,12/30/2025 00:00:00 EST
FCX260116C00047000,FCX260116C00047000,Sell,Filled,2,2,@4.5,4.5,DAY,12/29/2025 00:00:00 EST,12/29/2025 00:00:00 EST
BIDU260220C00120000,BIDU260220C00120000,Sell,Filled,2,2,@10.75,10.75,DAY,12/29/2025 00:00:00 EST,12/29/2025 00:00:00 EST
GDX260220C00095000,GDX260220C00095000,Sell,Filled,5,5,@2.73,2.73,DAY,12/29/2025 00:00:00 EST,12/29/2025 00:00:00 EST
FCX260116C00047000,FCX260116C00047000,Sell,Filled,3,3,@6.45,6.45,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
GDX260220C00095000,GDX260220C00095000,Sell,Filled,5,5,@4.82,4.82,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
SLV260116C00073000,SLV260116C00073000,Buy,Filled,2,2,@3.18,3.18,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
SLV260116C00072000,SLV260116C00072000,Sell,Filled,5,5,@3.5,3.5,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
SLV260116C00073000,SLV260116C00073000,Buy,Filled,8,8,@3.22,3.22,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
BABA260116P00150000,BABA260116P00150000,Buy,Filled,2,2,@3.65,3.65,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
ACMR260220C00039000,ACMR260220C00039000,Sell,Filled,2,2,@5.01,5.01,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
AXTI260220C00015000,AXTI260220C00015000,Buy,Filled,1,1,@2.72,2.72,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
SLV260116C00072000,SLV260116C00072000,Buy,Filled,5,5,@3.25,3.25,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
SLV251226C00070000,SLV251226C00070000,Sell,Filled,5E+1,5E+1,@0.08,0.08,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
ACMR260220C00039000,ACMR260220C00039000,Sell,Filled,2,2,@5.1,5.1,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
GDX260220C00095000,GDX260220C00095000,Sell,Filled,4,4,@4.78,4.78,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
GLD260220C00368000,GLD260220C00368000,Sell,Filled,1,1,@53.22,53.22,DAY,12/26/2025 00:00:00 EST,12/26/2025 00:00:00 EST
COIN260123P00235000,COIN260123P00235000,Buy,Filled,1,1,@10.58,10.58,DAY,12/24/2025 00:00:00 EST,12/24/2025 00:00:00 EST
HL260220C00022000,HL260220C00022000,Sell,Filled,1E+1,1E+1,@1.595,1.595,DAY,12/24/2025 00:00:00 EST,12/24/2025 00:00:00 EST
COIN260123P00235000,COIN260123P00235000,Buy,Filled,1,1,@10.87,10.87,DAY,12/23/2025 00:00:00 EST,12/23/2025 00:00:00 EST
MU260116C00310000,MU260116C00310000,Sell,Filled,2,2,@4.35,4.35,DAY,12/23/2025 00:00:00 EST,12/23/2025 00:00:00 EST
ARM260116P00115000,ARM260116P00115000,Sell,Filled,1,1,@5.05,5.05,DAY,12/22/2025 00:00:00 EST,12/22/2025 00:00:00 EST
GLD251219C00406000,GLD251219C00406000,Buy,Filled,9,9,@0,0,DAY,12/22/2025 00:00:00 EST,12/22/2025 00:00:00 EST
BE251219P00075000,BE251219P00075000,Buy,Filled,2,2,@0,0,DAY,12/22/2025 00:00:00 EST,12/22/2025 00:00:00 EST
BIDU260220C00120000,BIDU260220C00120000,Buy,Filled,2,2,@11.65,11.65,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
TSLA260320P00420000,TSLA260320P00420000,Sell,Filled,1,1,@21.82,21.82,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
MU260116C00310000,MU260116C00310000,Buy,Filled,2,2,@4.25,4.25,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
ACMR260220C00039000,ACMR260220C00039000,Buy,Filled,4,4,@5,5,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
ARM260116P00115000,ARM260116P00115000,Sell,Filled,2,2,@5.78,5.78,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
AMD260116P00175000,AMD260116P00175000,Sell,Filled,5,5,@1.24,1.24,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
ARM260116P00115000,ARM260116P00115000,Sell,Filled,2,2,@6.05,6.05,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
HL260220C00022000,HL260220C00022000,Buy,Filled,1E+1,1E+1,@2.1,2.1,DAY,12/19/2025 00:00:00 EST,12/19/2025 00:00:00 EST
AMD251219P00200000,AMD251219P00200000,Sell,Filled,1,1,@1.37,1.37,DAY,12/18/2025 00:00:00 EST,12/18/2025 00:00:00 EST
AMD251219P00185000,AMD251219P00185000,Sell,Filled,9,9,@0.05,0.05,DAY,12/18/2025 00:00:00 EST,12/18/2025 00:00:00 EST
AMD251219P00170000,AMD251219P00170000,Sell,Filled,11,11,@0.01,0.01,DAY,12/18/2025 00:00:00 EST,12/18/2025 00:00:00 EST
QS260116P00011000,QS260116P00011000,Sell,Filled,12,12,@0.85,0.85,DAY,12/18/2025 00:00:00 EST,12/18/2025 00:00:00 EST
OWL260220P00015000,OWL260220P00015000,Sell,Filled,12,12,@0.85,0.85,DAY,12/18/2025 00:00:00 EST,12/18/2025 00:00:00 EST
AMD251219P00185000,AMD251219P00185000,Buy,Filled,9,9,@0.49,0.49,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
AMD251219P00200000,AMD251219P00200000,Sell,Filled,1,1,@4.7,4.7,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
GLD251219C00406000,GLD251219C00406000,Buy,Filled,9,9,@0.61,0.61,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
GDX260220C00095000,GDX260220C00095000,Buy,Filled,7,7,@2.84,2.84,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
AMD260116P00175000,AMD260116P00175000,Sell,Filled,5,5,@3.08,3.08,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
TSLA260320P00420000,TSLA260320P00420000,Buy,Filled,2,2,@26.4,26.4,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
SLV251226C00070000,SLV251226C00070000,Buy,Filled,5E+1,5E+1,@0.13,0.13,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
AMD251219P00200000,AMD251219P00200000,Sell,Filled,3,3,@4.01,4.01,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
QQQ251216C00614000,QQQ251216C00614000,Buy,Filled,5,5,@0,0,DAY,12/17/2025 00:00:00 EST,12/17/2025 00:00:00 EST
QQQ251216C00614000,QQQ251216C00614000,Buy,Filled,5,5,@1.16,1.16,DAY,12/15/2025 00:00:00 EST,12/15/2025 00:00:00 EST
