ticker,date,gap_pct,bars,session_open,session_close,first_hour_high,first_hour_low,first_hour_close,first_hour_return,first_hour_close_location,first_hour_max_close_drawdown,first_hour_directional_efficiency,pre_afternoon_high,pre_afternoon_high_minute,post_first_new_high,post_first_new_high_minute,afternoon_new_high,afternoon_new_high_minute,close_above_first_hour_high,close_above_pre_afternoon_high,close_within_2pct_of_hod,pullback_before_afternoon_hod,constructive_pullback_before_afternoon_hod,pre_hod_pullback_depth,reclaim_signal,reclaim_signal_minute,reclaim_signal_price,reclaim_new_hod_after,reclaim_to_close_return,reclaim_mfe,reclaim_mae,runner_loose,runner_primary,runner_strict
PLTR,2024-08-06,0.1228725612287256,390,27.05,26.59,27.42,25.57,26.425,-0.02310536044362288,0.46216216216216205,0.06390145985401452,0.0,27.42,0,False,,False,,False,False,False,False,False,,True,210.0,27.285,False,-0.025471870991387258,0.00018325087044157584,-0.02840388491845336,False,False,False
GRAL,2024-08-14,0.12815656565656575,358,17.87,15.39,17.9,15.14,15.37,-0.13989927252378298,0.0833333333333329,0.15221040850587575,0.0,17.9,0,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
IREN,2024-08-29,0.11590296495956863,390,8.28,8.53,9.17,8.245,8.71,0.051932367149758685,0.5027027027027041,0.07524698133918761,0.09396853146853182,9.2,125,True,125.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
MRVL,2024-08-30,0.12113402061855671,390,78.3,76.32,79.0,72.71,73.34,-0.06334610472541502,0.10015898251192512,0.07090932279046047,0.0,79.0,0,False,,False,,False,False,False,False,False,,True,210.0,76.41,False,-0.0011778563015312216,0.00222483968067011,-0.01125507132574266,False,False,False
FUTU,2024-09-24,0.11279536335265261,384,74.88,74.86,76.28,73.633,74.3791,-0.006689369658119726,0.2818662636947476,0.031274638633377094,0.0,76.28,8,False,,False,,False,False,True,False,False,,True,352.0,75.1175,False,-0.0034279628581889154,-0.0004992178919693835,-0.010949512430525554,False,False,False
MU,2024-09-26,0.18095436984441893,390,113.1,109.88,114.8,110.58,111.9,-0.010610079575596676,0.31279620853080753,0.03155064649238659,0.0,114.8,0,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
FUTU,2024-10-02,0.10349637344243989,390,118.67,112.88,127.33,111.35,113.07,-0.04718968568298654,0.10763454317897361,0.11509881422924906,0.0,127.33,10,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
ALAB,2024-10-09,0.154833836858006,390,61.16,61.1863,63.15,59.45,61.99,0.01357096141268821,0.686486486486487,0.032232391563867924,0.05085721988701163,63.15,16,False,,False,,False,False,False,False,False,,True,210.0,61.9,False,-0.011529886914377951,0.003069466882067884,-0.02584814216478193,False,False,False
TSLA,2024-10-24,0.14523753802948747,390,244.68,260.54,251.1,242.65,248.94,0.01741049534085337,0.7443786982248521,0.014062032512217049,0.1741035302964667,256.5,204,True,96.0,True,214.0,True,True,True,False,False,0.002884990253411379,False,,,False,,,,False,False,False
ALAB,2024-11-05,0.2397702799712849,390,86.35,95.62,93.2896,84.11,89.6468,0.03817950202663578,0.6031635365375402,0.04704683225148876,0.11183782023447668,96.42,197,True,166.0,True,242.0,True,False,True,True,True,0.0376477909147479,True,220.0,94.61,True,0.010675404291301094,0.028954655956030084,-0.015114681323327273,False,False,False
PLTR,2024-11-05,0.15575947838686321,390,47.86,51.15,50.67,46.86,49.8448,0.04147095695779357,0.7834120734908131,0.015411358024691402,0.22987653749044573,51.185,145,True,83.0,True,308.0,True,False,True,True,True,0.01729022174465189,True,256.0,50.76,True,0.0076832151300236795,0.016055949566587957,-0.0049251379038612875,True,True,False
CIFR,2024-11-06,0.1466165413533833,390,6.1,6.98,6.44,5.9701,6.265,0.02704918032786896,0.627580336241752,0.03324393438533024,0.09556353527163221,6.7,115,True,83.0,True,273.0,True,True,True,True,True,0.04134328358208961,True,213.0,6.59,True,0.05918057663125964,0.06221547799696503,-0.006069802731411222,False,False,False
COIN,2024-11-06,0.14187976902454125,390,221.479,254.3,233.0,221.11,229.65,0.03689288826480164,0.71825063078217,0.04472756203500616,0.16121649297403096,246.4499,195,True,72.0,True,211.0,True,True,True,True,True,0.010979513483267866,True,210.0,246.28,True,0.032564560662660336,0.04628837095988292,-0.0008620269611824272,True,False,False
HUT,2024-11-06,0.14994026284348871,390,19.25,18.58,19.77,18.61,19.47,0.011428571428571344,0.741379310344827,0.04810384321710359,0.03962964297294335,19.82,88,True,87.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
IREN,2024-11-06,0.1174496644295302,390,9.99,11.0311,10.248,9.51,10.05,0.006006006006006093,0.7317073170731724,0.066536203522505,0.019056088420250385,10.9,166,True,72.0,True,229.0,True,True,True,True,True,0.026605504587156048,True,212.0,10.7699,True,0.024252778577331213,0.03436429307607325,-0.001383485454832356,False,False,False
MSTR,2024-11-06,0.14135206321334493,390,260.0,257.91,261.2,245.24,245.45,-0.05596153846153851,0.01315789473684084,0.05596153846153851,0.0,261.2,0,False,,False,,False,False,True,False,False,,True,210.0,253.69,False,0.016634475146832806,0.027829240411525902,-0.0020099333832629407,False,False,False
