date,open,high,low,close,gap,gap_size_pct,gap_outcome
2024-07-29,16.59,17.21,16.23,16.6,none,0.0,none
2024-07-30,16.64,18.32,16.26,17.69,up,0.24096385542167198,continuation
2024-07-31,16.66,16.77,15.71,16.36,none,0.0,none
2024-08-01,16.2,19.48,15.95,18.59,down,0.9779951100244544,full_reversal
2024-08-02,20.52,29.66,20.01,23.39,up,10.381925766541155,continuation
2024-08-05,23.39,65.73,23.39,38.57,none,0.0,none
2024-08-06,33.71,34.77,24.02,27.71,none,0.0,none
2024-08-07,24.77,29.76,21.97,27.85,down,10.609888127029954,full_reversal
2024-08-08,28.34,29.47,23.36,23.79,up,1.7594254937163267,full_reversal
2024-08-09,23.78,24.52,20.26,20.37,none,0.0,none
2024-08-12,20.79,21.19,18.89,20.71,none,0.0,none
2024-08-13,20.06,20.79,17.95,18.12,down,3.1385803959440017,continuation
2024-08-14,18.41,18.49,16.12,16.19,none,0.0,none
2024-08-15,16.27,16.68,14.77,15.23,none,0.0,none
2024-08-16,15.29,15.76,14.65,14.8,none,0.0,none
2024-08-19,15.94,16.07,14.46,14.65,up,4.251144538914331,full_reversal
2024-08-20,14.89,15.93,14.78,15.88,none,0.0,none
2024-08-21,16.25,17.17,15.92,16.27,up,2.329974811083124,continuation
2024-08-22,16.27,18.06,15.76,17.55,none,0.0,none
2024-08-23,17.12,17.21,15.61,15.86,none,0.0,none
2024-08-26,16.27,16.67,15.81,16.15,none,0.0,none
2024-08-27,16.21,16.81,15.37,15.43,none,0.0,none
2024-08-28,15.51,17.89,15.46,17.11,none,0.0,none
2024-08-29,16.54,16.57,15.19,15.65,none,0.0,none
2024-08-30,15.67,16.04,14.78,15.0,none,0.0,none
2024-09-02,15.87,15.99,15.48,15.55,up,1.276324186343336,partial_retrace
2024-09-03,15.76,21.99,15.71,20.72,none,0.0,none
2024-09-04,23.2,23.31,19.34,21.32,up,11.969111969111967,partial_retrace
2024-09-05,20.75,21.53,19.21,19.9,down,2.6735459662288963,continuation
2024-09-06,21.98,23.76,18.83,22.38,up,5.92771084337349,continuation
2024-09-09,21.32,21.41,19.29,19.45,down,3.0027297543221088,continuation
2024-09-10,19.86,20.74,18.9,19.08,none,0.0,none
2024-09-11,19.41,21.41,17.55,17.69,none,0.0,none
2024-09-12,17.62,18.59,16.89,17.07,down,0.3957037874505409,continuation
2024-09-13,17.03,17.18,16.23,16.56,down,0.23432923257176164,continuation
2024-09-16,17.16,17.69,16.91,17.14,up,0.7633587786259444,partial_retrace
2024-09-17,17.16,18.08,16.67,17.61,none,0.0,none
2024-09-18,17.58,19.39,17.11,18.23,none,0.0,none
2024-09-19,17.21,17.27,16.21,16.33,down,2.1046643913537944,continuation
2024-09-20,16.35,16.68,15.81,16.15,none,0.0,none
2024-09-23,16.71,16.95,15.75,15.89,up,2.2018348623853212,full_reversal
2024-09-24,15.87,16.67,15.27,15.39,down,0.12586532410321372,continuation
2024-09-25,15.82,15.82,15.17,15.41,none,0.0,none
2024-09-26,15.06,15.83,14.9,15.37,down,2.2712524334847495,partial_retrace
2024-09-27,15.64,16.97,15.2,16.96,up,1.7566688353936266,continuation
2024-09-30,17.01,17.79,16.47,16.73,up,0.2948113207547287,full_reversal
2024-10-01,16.96,20.73,16.61,19.26,none,0.0,none
